X,Y,OBJECTID,GISID,TYPE,GC_NR,STRAATNAAM,HUISNUMMER,POSTCODE,SECTOR,OPMERKING,EBDD,ROUTE_WEEK,ROUTE_WEEKEND,FREQ_SLK,SLK_MA,SLK_DI,SLK_WO,SLK_DO,SLK_VR,SLK_ZA,SLK_ZO,FREQ_LEDIGING,LED_MA,LED_DI,LED_WO,LED_DO,LED_VR,LED_ZA,LED_ZO,Latitude,Longitude
496889.563656565,6666273.17865432,54258,GLASCONT_04775,duo glasbol,D1037,WINKELSTAP,,2170,NOORD,Merksem,2020/07/28 10:46:33+00,,,,,,,,,,,,,,,,,,,51.25358515796205,4.4636348955217215
482489.536195601,6653105.6235663,54259,GLASCONT_00553,duo glasbol,D1076,BOOMBEKELAAN,,2660,ZUID,Hoboken,1999/12/31 00:00:00+00,,,Wekelijks,,x,,x,,,,,,,,x,,,,51.179493233985035,4.334277247922475
483293.414337601,6651931.81412399,54260,GLASCONT_00554,duo glasbol,D1064,GROTEBAAN,23,2660,ZUID,Hoboken,1999/12/31 00:00:00+00,,,Wekelijks,,x,,x,,,,,,,,x,,,,51.1728825893637,4.341498608137757
483386.03743328,6654078.36209721,54261,GLASCONT_00560,duo glasbol,D1020,GRASPOLDERLAAN,,2660,ZUID,Hoboken,1999/12/31 00:00:00+00,,,Wekelijks,,x,,x,,,,,,,,x,,,,51.18497077191026,4.342330655562865
484534.301130378,6653796.33310745,54262,GLASCONT_00564,duo glasbol,D1065,,116,2660,ZUID,Hoboken,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,x,,,,51.18338271996676,4.352645683855892
484859.08134849,6653064.95911308,54263,GLASCONT_00565,duo glasbol,D1070,VAN DE PERRELEI,9,2660,ZUID,Hoboken,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,x,,,,51.17926423629969,4.35556323419499
486051.486002864,6653907.03975477,54264,GLASCONT_00566,mono glasbol wit,M2003,STEYNSTRAAT,330,2660,ZUID,Hoboken,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,x,,,,51.184006094699726,4.366274787453784
486060.026285258,6653913.64833428,54265,GLASCONT_00567,mono glasbol groen,M1662,STEYNSTRAAT,330,2660,ZUID,Hoboken,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,x,,,,51.18404330648482,4.366351506115836
486655.425472504,6654182.43269963,54266,GLASCONT_00569,mono glasbol wit,M1527,ZEELANDSTRAAT,,2660,ZUID,Hoboken,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,x,,,,51.1855567599854,4.3717000680163896
486651.094468503,6654187.68683951,54267,GLASCONT_00570,mono glasbol groen,M1609,ZEELANDSTRAAT,,2660,ZUID,Hoboken,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,x,,,,51.185586344158864,4.371661161945494
