X,Y,OBJECTID,CODE_OBJECT,ROEPNAAM_ZZ_OBJECT,NAAM_ZAAL,HOOFDFUNCTIE_ACTIVITEITSTYPE,MAX_ZITTEND,MAX_STAAND,ORIG_FID
492227.544400841,6658795.82736349,100285,0000007612,Ampere,Stedelijke fuifzaal,"Feest, Hobby, Logistiek, Religiebeleving, Sport, Vergader, Vergader1",,960,1
488251.604049814,6662848.79266301,100286,0000024982,"Scouts 21ste, De Karakol",Grote zaal,"Feest, Hobby, Repetitie, Vakantieactiviteit, Vergader, Vergader1",150,150,2
489523.098316905,6660276.32699858,100287,0000020755,De Ware Jacob,Café,"Feest, Repetitie",20,49,3
492201.641974742,6656120.84996271,100288,0000021200,Huize Berchem,Cafetaria afzonderlijk deel,"Feest, Hobby, Repetitie, Sport, Vergader, Vergader1",28,40,4
492201.641974742,6656120.84996271,100289,0000021200,Huize Berchem,Polyvalente zaal,"Feest, Hobby, Sport, Vergader, Vergader1",30,30,5
490947.656315335,6656921.57487771,100290,0000000503,Koetshuis Harmoniewijk,Zaaltje,"Buurtactiviteit, Feest, Hobby, Repetitie, Sport, Vergader, Vergader1",49,49,6
493226.92400421,6658091.57593914,100291,0000023632,May's,Zaaltje eerste verdieping,"Feest, Hobby, Religiebeleving, Sport, Vergader, Vergader1",40,40,7
492491.908175528,6659120.87139055,100292,0000008304,Jologie,Zaal eerste verdieping,"Feest, Hobby, Repetitie, Vergader, Vergader1",25,25,8
493526.729155108,6661209.01321064,100293,0000021565,Seefhoek,Cafetaria,"Feest, Hobby, Repetitie, Sport, Vergader, Vergader1",120,120,9
493526.729155108,6661209.01321064,100294,0000021565,Seefhoek,Vergaderzaal,"Feest, Hobby, Repetitie, Sport, Vergader, Vergader1",6,6,10
492616.108026603,6656696.63276473,100295,0000011977,RoodWit,Café,"Feest, Hobby, Repetitie, Vergader, Vergader1",49,99,11
485198.961994376,6653729.57682739,100296,0000023401,Portugesehof,Turnzaal,"Feest, Hobby, Repetitie, Sport, Vergader, Vergader1",50,50,12
485198.961994376,6653729.57682739,100297,0000023401,Portugesehof,Cafetaria,"Feest, Hobby, Repetitie, Sport, Vergader, Vergader1",250,628,13
488470.092128157,6658044.23990836,100298,0000008300,Pakhuis - Huisbrouwerij,Gelijkvloers,"Feest, Vergader, Vergader1",200,230,14
488470.092128157,6658044.23990836,100299,0000008300,Pakhuis - Huisbrouwerij,Bovenverdieping,"Feest, Hobby, Repetitie, Vergader, Vergader1",200,250,15
492009.612608304,6661556.20065411,100300,0000008083,Expohuis,Zaaltje,"Feest, Hobby, Repetitie, Vergader, Vergader1",,49,16
489720.317837662,6660054.64443644,100301,0000008194,De Kegelkluis,zaal,"Feest, Hobby, Sport, Vergader, Vergader1",,49,17
493633.650000035,6658699.2873539,100302,0000007842,Mistura,Polyvalente zaal,"Feest, Hobby, Religiebeleving, Repetitie, Vergader, Vergader1",20,30,18
484280.990844831,6652600.99641024,100303,0000008506,De Lelie,Kleine zaal,"Feest, Vergader, Vergader1",45,80,19
494455.951527959,6659551.27283689,100304,0000010176,Bar Leon,Salon 1e verdieping,"Feest, Hobby",20,20,20
494455.951527959,6659551.27283689,100305,0000010176,Bar Leon,Vergaderruimte 2e verdieping,"Feest, Hobby, Vergader, Vergader1",12,,21
494455.951527959,6659551.27283689,100306,0000010176,Bar Leon,Cominatie 1e en 2e verdieping,"Feest, Hobby, Vergader, Vergader1",35,35,22
490000.161872978,6659552.33805057,100307,0000015797,Dreadlovers,Kelder,"Feest, Hobby, Repetitie, Vergader, Vergader1",10,20,23
489389.158646555,6650843.50221692,100308,0000013147,Mariënborgh,Grote Zaal,"Feest, Hobby, Vergader, Vergader1",85,150,24
489389.158646555,6650843.50221692,100309,0000013147,Mariënborgh,Cafetaria,Feest,80,100,25
489389.158646555,6650843.50221692,100310,0000013147,Mariënborgh,Combinatie café + zaal + terras,Feest,80,250,26
489389.158646555,6650843.50221692,100311,0000013147,Mariënborgh,70's Hoek,"Feest, Vergader, Vergader1",5,,27
489805.108204248,6659755.89485298,100312,0000012986,Mint Antwerp,Zaaltje,"Feest, Hobby, Vergader",20,20,28
492389.170913558,6660252.77031295,100313,0000008489,Bar Oscar,Breakout Room,"Feest, Hobby, Repetitie, Vergader, Vergader1",25,60,29
492389.170913558,6660252.77031295,100314,0000008489,Bar Oscar,Bar,"Feest, Hobby, Repetitie, Vergader, Vergader1",20,40,30
492389.170913558,6660252.77031295,100315,0000008489,Bar Oscar,Terras,"Feest, Hobby, Repetitie, Vergader, Vergader1",20,60,31
492389.170913558,6660252.77031295,100316,0000008489,Bar Oscar,Gebouw,"Feest, Hobby, Repetitie, Vergader, Vergader1",45,100,32
492128.875364848,6655803.3120642,100317,0000007944,De Nieuwe Vrede,Theaterzaal gelijkvloers,"Feest, Repetitie, Vergader, Vergader1",,,33
492128.875364848,6655803.3120642,100318,0000007944,De Nieuwe Vrede,Zuilenzaal,"Feest, Hobby, Repetitie, Sport, Vergader, Vergader1",35,69,34
492128.875364848,6655803.3120642,100319,0000007944,De Nieuwe Vrede,Theatercafé gelijkvloers,"Feest, Hobby, Repetitie, Vergader",80,135,35
492411.33438483,6656109.07317751,100320,0000008028,Sonseveria,Zaal gelijkvloers,"Feest, Hobby, Vergader, Vergader1",30,60,36
490284.782004719,6660519.83103539,100321,0000010687,Persepolis,Restaurant,"Feest, Hobby, Repetitie, Vergader, Vergader1",49,49,37
493765.851550127,6658375.8831468,100322,0000012168,Fatima's Kitchen,Keuken,"Feest, Hobby, Vergader1",14,18,38
493765.851550127,6658375.8831468,100323,0000012168,Fatima's Kitchen,Eetkamer,"Feest, Hobby, Repetitie, Vergader, Vergader1",14,16,39
493765.851550127,6658375.8831468,100324,0000012168,Fatima's Kitchen,Benedenverdieping,"Feest, Hobby, Repetitie, Vergader, Vergader1",14,35,40
