X,Y,OBJECTID,Objecttype,Type_fietsstalling,Ligging,Straatnaam,Huisnummer,Aanvulling,District,Postcode,Fietspomp,Objectcode,Aantal_plaatsen,Aantal_rijen
488240.902968981,6660636.66627704,525319,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Frederik Van Eedenplein,10,,Antwerpen,2050,,FS_0254055,4,1
488237.329681555,6660521.82943373,525320,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Frederik Van Eedenplein,14,,Antwerpen,2050,,FS_0254056,4,1
488282.687352296,6660486.13750303,525321,FIETSSTALLING,HAAKBEUGEL_GROEP,PLEIN,Frederik Van Eedenplein,16,"to 16, plein Naast ingang metro",Antwerpen,2050,,FS_0254057,40,4
488272.343156436,6660889.03692284,525322,FIETSSTALLING,NIETJE_GROEP,MIDDENBERM,Frederik Van Eedenplein,4,to 4,Antwerpen,2050,,FS_0254058,4,1
488235.190276296,6660450.64377009,525323,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Frederik Van Eedenplein,18,,Antwerpen,2050,,FS_0254059,4,1
489026.830960471,6662960.92645422,525324,FIETSSTALLING,BETH_GALI,VOETGANGERSZONE,Wandeldijk,40,naast zwembad,Antwerpen,2050,,FS_0254060,60,3
488266.015903373,6657802.11126703,525325,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Nicole Van Goethempad,17,ingang thv supermarkt Colruyt,Antwerpen,2000,,FS_0254061,6,1
488261.632632639,6657777.39723402,525326,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Nicole Van Goethempad,17,fietsstaling opgesteld rechts ingang thv supermarkt Colruyt,Antwerpen,2000,,FS_0254062,2,1
488619.345429411,6662984.6725244,525327,FIETSSTALLING,NIETJE_GROEP,PARK,Kastanjedreef,22,to 22 ingang park,Antwerpen,2050,,FS_0254063,3,1
488969.632821113,6662754.60883729,525328,FIETSSTALLING,NIETJE_GROEP,PARK,Thonetlaan,,ingang skatepark ,Antwerpen,2050,,FS_0254064,4,1
487799.793662027,6657657.28877321,525329,FIETSSTALLING,NIETJE_GROEP,PLEIN,Michel De Braeystraat,55,,Antwerpen,2000,,FS_0254065,4,1
487793.024198566,6657670.81762695,525330,FIETSSTALLING,NIETJE_GROEP,PLEIN,Michel De Braeystraat,55,op kruispunt met Jos Smolderenstraat,Antwerpen,2000,,FS_0254066,4,1
488524.113836489,6658709.16078082,525331,FIETSSTALLING,NIETJE_GROEP,VOETGANGERSZONE,Cockerillkaai,29,to 29,Antwerpen,2000,,FS_0254067,8,1
488783.950044985,6659129.12255568,525332,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Cockerillkaai,1,to 1,Antwerpen,2000,,FS_0254068,6,1
489363.430901219,6658531.88203198,525333,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Karel Rogierstraat,14,,Antwerpen,2000,,FS_0254069,4,1
488016.040917043,6662080.54167382,525334,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Willem Van Haechtlaan,60,,Antwerpen,2050,,FS_0254070,4,1
488204.900943771,6662077.34757448,525335,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Willem Van Haechtlaan,66,,Antwerpen,2050,,FS_0254071,5,1
487348.902868508,6661031.20124156,525336,FIETSSTALLING,RIK_WAAIER,VOETPAD,Halewijnlaan,86,,Antwerpen,2050,,FS_0254072,1,1
488080.076363836,6662079.93377913,525337,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Willem Van Haechtlaan,66,,Antwerpen,2050,,FS_0254073,6,1
489981.650576532,6659169.35563928,525338,FIETSSTALLING,NIETJE_ENKEL,VOETPAD,Begijnenstraat,24,,Antwerpen,2000,,FS_0254075,1,1
487714.738012835,6661028.47960905,525339,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Ernest Claesstraat,1,,Antwerpen,2050,,FS_0254084,3,1
487748.38735536,6661045.30053847,525340,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Ernest Claesstraat,2-4,,Antwerpen,2050,,FS_0254085,6,1
487845.394834121,6661152.45114141,525341,FIETSSTALLING,NIETJE_GROEP,PLEIN,Louis Paul Boonstraat,22,,Antwerpen,2050,,FS_0254086,5,1
