X,Y,OBJECTID,GISID,TYPE,GC_NR,STRAATNAAM,HUISNUMMER,POSTCODE,SECTOR,OPMERKING,EBDD,ROUTE_WEEK,ROUTE_WEEKEND,FREQ_SLK,SLK_MA,SLK_DI,SLK_WO,SLK_DO,SLK_VR,SLK_ZA,SLK_ZO,FREQ_LEDIGING,LED_MA,LED_DI,LED_WO,LED_DO,LED_VR,LED_ZA,LED_ZO
496889.563656565,6666273.17865432,54258,GLASCONT_04775,duo glasbol,D1037,WINKELSTAP,,2170,NOORD,Merksem,2020/07/28 10:46:33+00,,,,,,,,,,,,,,,,,,
482489.536195601,6653105.6235663,54259,GLASCONT_00553,duo glasbol,D1076,BOOMBEKELAAN,,2660,ZUID,Hoboken,1999/12/31 00:00:00+00,,,Wekelijks,,x,,x,,,,,,,,x,,,
483293.414337601,6651931.81412399,54260,GLASCONT_00554,duo glasbol,D1064,GROTEBAAN,23,2660,ZUID,Hoboken,1999/12/31 00:00:00+00,,,Wekelijks,,x,,x,,,,,,,,x,,,
483386.03743328,6654078.36209721,54261,GLASCONT_00560,duo glasbol,D1020,GRASPOLDERLAAN,,2660,ZUID,Hoboken,1999/12/31 00:00:00+00,,,Wekelijks,,x,,x,,,,,,,,x,,,
484534.301130378,6653796.33310745,54262,GLASCONT_00564,duo glasbol,D1065,,116,2660,ZUID,Hoboken,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,x,,,
484859.08134849,6653064.95911308,54263,GLASCONT_00565,duo glasbol,D1070,VAN DE PERRELEI,9,2660,ZUID,Hoboken,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,x,,,
486051.486002864,6653907.03975477,54264,GLASCONT_00566,mono glasbol wit,M2003,STEYNSTRAAT,330,2660,ZUID,Hoboken,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,x,,,
486060.026285258,6653913.64833428,54265,GLASCONT_00567,mono glasbol groen,M1662,STEYNSTRAAT,330,2660,ZUID,Hoboken,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,x,,,
486655.425472504,6654182.43269963,54266,GLASCONT_00569,mono glasbol wit,M1527,ZEELANDSTRAAT,,2660,ZUID,Hoboken,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,x,,,
486651.094468503,6654187.68683951,54267,GLASCONT_00570,mono glasbol groen,M1609,ZEELANDSTRAAT,,2660,ZUID,Hoboken,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,x,,,
486846.834268968,6653843.42072381,54268,GLASCONT_00571,ondergrondse duo,O1114-A687,GOLFSTRAAT_HO,32,2660,ZUID,Hoboken,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,x,,,
488157.64392516,6652567.06003516,54269,GLASCONT_00572,mono glasbol wit,M1667,HUISBLOKSTRAAT,,2610,ZUID,Wilrijk,2024/05/07 12:03:17+00,,,Wekelijks,,x,,x,,,,,,x,,,,,
487437.690852864,6653078.68727122,54270,GLASCONT_00576,mono glasbol wit,M1576,,101,2610,ZUID,Wilrijk,1999/12/31 00:00:00+00,,,Wekelijks,,x,,x,,,,,,x,,,,,
487441.957602247,6653083.55601465,54271,GLASCONT_00577,mono glasbol groen,M1658,,101,2610,ZUID,Wilrijk,1999/12/31 00:00:00+00,,,Wekelijks,,x,,x,,,,,,x,,,,,
486991.178880517,6652690.67635103,54272,GLASCONT_00578,duo glasbol,D1254,RIDDERVELD,11,2610,ZUID,Wilrijk,1999/12/31 00:00:00+00,,,Wekelijks,,x,,x,,,,,,x,,,,,
485713.866480794,6652485.7655669,54273,GLASCONT_00581,mono glasbol groen,M1605,PAUL VEKEMANSLAAN,,2660,ZUID,Hoboken,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,x,,,
485714.427287621,6652492.98908243,54274,GLASCONT_00582,mono glasbol wit,M1504,PAUL VEKEMANSLAAN,,2660,ZUID,Hoboken,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,x,,,
484720.170066918,6652042.37170778,54275,GLASCONT_00584,mono glasbol wit,M1510,OUDESTRAAT_HO,130,2660,ZUID,Hoboken,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,x,,,
484723.733608435,6652042.48967038,54276,GLASCONT_00585,mono glasbol groen,M1586,OUDESTRAAT_HO,130,2660,ZUID,Hoboken,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,x,,,
484409.826757399,6651969.496429,54277,GLASCONT_00588,duo glasbol,D1148,VAN AMSTELSTRAAT_HO,44,2660,ZUID,Hoboken,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,x,,,
485586.69997139,6651924.59337515,54278,GLASCONT_00593,ondergrondse duo,O1115-A662,EIKENLEI,8,2660,ZUID,Hoboken,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,x,,,
484640.839445937,6650420.88075556,54279,GLASCONT_00594,duo glasbol,D1044,SCHANSSTRAAT,59,2660,ZUID,Hoboken,1999/12/31 00:00:00+00,,,Wekelijks,,x,,x,,,,,,,,x,,,
484846.941913217,6649930.12085157,54280,GLASCONT_00595,duo glasbol,D1097,KLAVERBLADDREEF_HO,,2660,ZUID,Hoboken,1999/12/31 00:00:00+00,,,Wekelijks,,x,,x,,,,,,,,x,,,
487829.704283053,6653336.75075911,54281,GLASCONT_00600,mono glasbol groen,M1664,LETTERKUNDESTRAAT,29,2610,ZUID,Wilrijk,1999/12/31 00:00:00+00,,,Wekelijks,,x,,x,,,,,,x,,,,,
487835.797015435,6653337.97067782,54282,GLASCONT_00601,mono glasbol wit,M1578,LETTERKUNDESTRAAT,29,2610,ZUID,Wilrijk,1999/12/31 00:00:00+00,,,Wekelijks,,x,,x,,,,,,x,,,,,
