X,Y,OBJECTID,Straatnaam,Huisnummer,District,Postcode,Type,Start_Date,End_Date,GISID,Exploitant,AC_DC,Publiek,Autodelen,Taxi,Onst_Offst,NAAM,Opmerking
496247.843026116,6656508.06509242,209697,Van Notenstraat,89,Deurne,2100,Type2,2022-03-14,,EVChargingStation:BE*TCB*E100004*2,Total Belgium,AC,,,,straatparkeren,Van Notenstraat 89,
495525.19519841,6657850.66164798,209698,Berchemlei,15,Deurne,2140,Type2,2022-03-14,,EVChargingStation:BE*TCB*E100003*2,Total Belgium,AC,,,,straatparkeren,Berchemlei 15,
492441.444030583,6670614.63339957,209699,Veltwijcklaan,31,Ekeren,2180,Type2,2022-03-14,,EVChargingStation:BE*TCB*E100000*1,Total Belgium,AC,,,,straatparkeren,Veltwijcklaan 31,
496247.843026116,6656508.06509242,209700,Van Notenstraat,89,Deurne,2100,Type2,2022-03-14,,EVChargingStation:BE*TCB*E100004*1,Total Belgium,AC,,,,straatparkeren,Van Notenstraat 89,
494567.189108626,6670816.25387188,209701,Paardebloemlaan,6,Ekeren,2180,Type2,2022-03-14,,EVChargingStation:BE*TCB*E100002*1,Total Belgium,AC,,,,straatparkeren,Paardebloemlaan 6,
495525.19519841,6657850.66164798,209702,Berchemlei,15,Deurne,2140,Type2,2022-03-14,,EVChargingStation:BE*TCB*E100003*1,Total Belgium,AC,,,,straatparkeren,Berchemlei 15,
492441.444030583,6670614.63339957,209703,Veltwijcklaan,31,Ekeren,2180,Type2,2022-03-14,,EVChargingStation:BE*TCB*E100000*2,Total Belgium,AC,,,,straatparkeren,Veltwijcklaan 31,
494567.189108626,6670816.25387188,209704,Paardebloemlaan,6,Ekeren,2180,Type2,2022-03-14,,EVChargingStation:BE*TCB*E100002*2,Total Belgium,AC,,,,straatparkeren,Paardebloemlaan 6,
493369.621098773,6665734.47321727,209705,Jozef Buerbaumstraat,73,Merksem,2170,Type2,2022-04-06,,EVChargingStation:BE*TCB*E100009*2,Total Belgium,AC,,,,straatparkeren,Jozef Buerbaumstraat 73,
493369.621098773,6665734.47321727,209706,Jozef Buerbaumstraat,73,Merksem,2170,Type2,2022-04-06,,EVChargingStation:BE*TCB*E100009*1,Total Belgium,AC,,,,straatparkeren,Jozef Buerbaumstraat 73,
